Table Name,State Code,District Code,Area Name,Area,Present Age,Total Women,Total Ever Married Women,Total Ever Married Women - Parity - 0,Total Ever Married Women - Parity - 1,Total Ever Married Women - Parity - 2,Total Ever Married Women - Parity - 3,Total Ever Married Women - Parity - 4,Total Ever Married Women - Parity - 5,Total Ever Married Women - Parity - 6,Total Ever Married Women - Parity - 7+,Total Children Ever Born - Persons,Total Children Ever Born - Male,Total Children Ever Born - Female
F0100,0,0,INDIA,Urban,30-34,14956690,14199894,1732169,2832936,5374872,2474661,1061349,399235,161794,162878,29582022,15480884,14101138
F0100,0,0,INDIA,Urban,35-39,14284157,13900962,1257231,2182378,5128133,2829177,1362769,602795,288797,249682,33133428,17478285,15655143
F0100,0,0,INDIA,Urban,40-44,11876953,11626425,950574,1598622,3940490,2542024,1319703,625975,324957,324080,30083897,16043410,14040487
F0100,0,0,INDIA,Urban,45-49,10356255,10171724,801054,1303077,3075980,2317609,1302940,647353,344904,378807,28005705,15077603,12928102
F0100,0,0,INDIA,Urban,50-54,7983747,7833114,642303,946994,2087768,1772344,1113965,583560,315790,370390,22729870,12355080,10374790
F0100,0,0,INDIA,Urban,55-59,6365058,6247652,538259,721551,1438408,1341683,959497,549345,312342,386567,19245530,10453442,8792088
F0100,0,0,INDIA,Urban,60-64,5602305,5471382,540570,614600,1028087,1049317,875604,564114,346474,452616,17924067,9668279,8255788
F0100,0,0,INDIA,Urban,65-69,3802698,3690653,393870,395348,582409,624605,589925,427014,283774,393708,12847945,6895524,5952421
F0100,0,0,INDIA,Urban,70-74,2727922,2662470,320856,294548,368473,389080,396126,316926,229845,346616,9581958,5114088,4467870
F0100,0,0,INDIA,Urban,75-79,1471607,1436034,177417,158829,183214,190739,200645,173213,134401,217576,5355894,2852710,2503184
F0100,0,0,INDIA,Urban,80+,1876116,1771425,259823,220795,236094,209347,213546,186521,153871,291428,6450458,3430487,3019971
F0101,1,0,State - JAMMU & KASHMIR,Total,All Ages,5900640,2835216,388668,329294,519515,497349,400325,270714,210882,218469,8841036,4665697,4175339
